Tuple,count
"('channel', ('India', u'Maharashtra'), '2013-02-11')",1
"('hospitalgate', ('India', u'Kerala'), '2013-05-06')",1
"('certificate', ('India', u'Karnataka'), '2013-04-22')",1
"('colony', ('India', u'Maharashtra'), '2013-06-10')",1
"('sharif', ('India', u'Uttar Pradesh'), '2013-06-03')",1
"('test', ('India', u'Karnataka'), '2013-06-10')",4
"('digit', ('India', u'Kerala'), '2013-06-10')",1
"('collect', ('India', u'Tamil Nadu'), '2013-04-22')",1
"('limited', ('India', u'Punjab'), '2013-06-10')",1
"('early', ('India', u'Goa'), '2013-04-01')",1
"('view', ('India', u'Maharashtra'), '2013-02-11')",1
"('result', ('India', u'Kerala'), '2013-05-27')",1
"('born', ('India', u'Maharashtra'), '2013-02-11')",1
"('stagnation', ('India', u'Tamil Nadu'), '2013-06-10')",1
"('ravikumar', ('India', u'Karnataka'), '2013-05-20')",1
"('twice', ('India', u'Karnataka'), '2013-04-22')",1
"('reports', ('India', u'West Bengal'), '2013-01-21')",1
"('film', ('India', u'Kerala'), '2013-06-03')",1
"('add', ('India', u'Uttar Pradesh'), '2013-05-20')",2
"('measure', ('India', u'Kerala'), '2013-06-10')",1
"('website', ('India', u'Maharashtra'), '2013-02-11')",1
"('breteau', ('India', u'Tamil Nadu'), '2013-01-07')",1
"('cop', ('India', u'Kerala'), '2013-06-03')",1
"('month', ('India', u'Tamil Nadu'), '2013-04-08')",1
"('category', ('India', u'Karnataka'), '2013-04-22')",1
"('appreciative', ('India', u'Maharashtra'), '2013-04-15')",1
"('average', ('India', u'Kerala'), '2013-05-13')",1
"('stock', ('India', u'Karnataka'), '2013-05-27')",1
"('collect', ('India', u'Haryana'), '2013-05-06')",1
"('health', ('India', u'Rajasthan'), '2013-04-22')",1
"('disease', ('India', u'West Bengal'), '2013-05-06')",1
"('party', ('India', u'Karnataka'), '2013-06-10')",1
"('hospital', ('India', u'Gujarat'), '2013-06-10')",1
